Date,Time,Open,High,Low,Close,Vol,OI,HA 1,HA 2,State
25.11.1997,00:00,96.00,96.34,94.63,95.00,4336900,0,95.68,95.49,0.00
26.11.1997,00:00,95.63,95.81,94.66,95.25,4521400,0,95.59,95.34,0.00
27.11.1997,00:00,95.88,95.98,95.31,95.53,2681000,0,95.46,95.68,1.00
29.11.1997,00:00,95.75,96.25,95.59,95.63,1564700,0,95.57,95.81,1.00
2.12.1997,00:00,96.22,98.09,96.03,98.09,4832200,0,95.69,97.11,1.00
3.12.1997,00:00,97.69,97.98,96.56,97.50,1974900,0,96.40,97.43,1.00
4.12.1997,00:00,97.63,98.53,96.88,97.78,3300500,0,96.91,97.70,1.00
5.12.1997,00:00,98.50,98.72,97.00,97.69,2872500,0,97.31,97.98,1.00
6.12.1997,00:00,97.38,99.00,97.13,98.94,3457300,0,97.64,98.11,1.00
9.12.1997,00:00,98.97,99.00,98.25,98.66,2241200,0,97.88,98.72,1.00
10.12.1997,00:00,98.22,98.59,97.63,98.06,1694700,0,98.30,98.13,0.00
11.12.1997,00:00,97.56,97.84,96.47,97.22,3558400,0,98.21,97.27,-1.00
12.12.1997,00:00,96.31,96.59,95.31,95.56,5065200,0,97.74,95.94,-1.00
13.12.1997,00:00,96.44,96.50,94.91,95.75,4452800,0,96.84,95.90,0.00
16.12.1997,00:00,96.25,97.11,95.88,96.72,4674700,0,96.37,96.49,0.00
17.12.1997,00:00,97.22,97.81,96.88,97.34,2883500,0,96.43,97.31,0.00
18.12.1997,00:00,97.84,97.88,96.70,96.81,2231300,0,96.87,97.31,0.00
19.12.1997,00:00,96.94,96.94,95.22,95.78,4644800,0,97.09,96.22,-1.00
20.12.1997,00:00,94.53,95.88,92.38,94.69,8513300,0,96.65,94.37,-1.00
23.12.1997,00:00,95.44,96.03,94.33,95.31,5135900,0,95.51,95.28,-1.00
24.12.1997,00:00,95.44,95.63,93.53,93.69,4436500,0,95.39,94.57,-1.00
25.12.1997,00:00,94.44,94.44,93.25,93.41,2019200,0,94.98,93.89,-1.00
27.12.1997,00:00,94.13,94.13,93.41,93.78,941800,0,94.43,93.86,-1.00
30.12.1997,00:00,94.59,95.72,94.44,95.72,2075000,0,94.15,95.12,1.00
31.12.1997,00:00,95.94,97.25,95.84,97.13,3606500,0,94.63,96.54,0.00
1.01.1998,00:00,96.88,97.63,96.69,96.84,4341000,0,95.59,97.01,1.00
3.01.1998,00:00,97.31,97.66,96.53,97.56,2360700,0,96.30,97.27,1.00
6.01.1998,00:00,97.84,98.44,96.78,97.78,4188300,0,96.78,97.71,1.00
7.01.1998,00:00,97.25,97.28,96.19,96.22,3152700,0,97.25,96.74,0.00
8.01.1998,00:00,96.09,96.94,95.22,96.56,4413700,0,96.99,96.20,0.00
9.01.1998,00:00,96.31,96.31,95.38,95.38,3820500,0,96.60,95.84,0.00
10.01.1998,00:00,95.25,95.50,91.91,92.31,10190900,0,96.22,93.74,-1.00
13.01.1998,00:00,91.13,94.19,90.91,94.00,11375500,0,94.98,92.56,-1.00
14.01.1998,00:00,94.63,95.38,94.22,95.31,5167500,0,93.77,94.89,0.00
15.01.1998,00:00,95.69,95.97,94.72,95.75,3660500,0,94.33,95.53,0.00
16.01.1998,00:00,95.50,95.75,94.81,94.84,2829400,0,94.93,95.22,0.00
17.01.1998,00:00,96.25,96.69,95.66,96.31,4373700,0,95.08,96.23,1.00
21.01.1998,00:00,96.69,98.02,96.50,97.97,4981800,0,95.65,97.29,1.00
22.01.1998,00:00,97.22,97.69,96.16,97.00,4680500,0,96.47,97.02,1.00
23.01.1998,00:00,96.16,96.88,95.88,96.13,4534900,0,96.75,96.26,0.00
24.01.1998,00:00,96.50,96.78,95.00,95.91,6318100,0,96.50,96.05,0.00
27.01.1998,00:00,96.38,96.73,93.75,95.78,4354200,0,96.28,95.66,0.00
28.01.1998,00:00,95.81,98.00,95.66,96.94,6736300,0,95.97,96.60,1.00
29.01.1998,00:00,97.41,98.11,97.19,97.72,4159200,0,96.29,97.61,1.00
30.01.1998,00:00,97.84,99.56,97.56,98.19,7977300,0,96.95,98.29,1.00
31.01.1998,00:00,98.78,98.97,98.00,98.31,3647400,0,97.62,98.52,1.00
3.02.1998,00:00,99.91,100.50,99.75,100.13,5733600,0,98.07,100.07,1.00
4.02.1998,00:00,100.00,100.81,99.72,100.69,2743000,0,99.07,100.31,1.00
5.02.1998,00:00,100.28,101.16,99.94,100.56,3373800,0,99.69,100.49,1.00
6.02.1998,00:00,101.31,101.59,100.03,100.50,4817100,0,100.09,100.86,1.00
7.02.1998,00:00,101.00,101.63,100.69,101.63,5679700,0,100.47,101.24,1.00
10.02.1998,00:00,101.72,101.75,100.72,101.22,2303300,0,100.85,101.35,1.00
11.02.1998,00:00,101.44,102.47,101.19,102.14,3639900,0,101.10,101.81,1.00
12.02.1998,00:00,102.09,103.19,101.70,102.16,4068700,0,101.46,102.29,1.00
13.02.1998,00:00,101.72,102.94,100.88,102.53,4988200,0,101.87,102.02,1.00
14.02.1998,00:00,102.19,102.94,101.88,102.06,2049900,0,101.94,102.27,1.00
18.02.1998,00:00,102.81,103.09,102.16,102.44,3014900,0,102.11,102.63,1.00
19.02.1998,00:00,102.31,103.48,102.28,103.34,2982000,0,102.37,102.85,1.00
20.02.1998,00:00,103.25,103.41,102.75,102.89,3383400,0,102.61,103.07,1.00
21.02.1998,00:00,103.08,103.75,102.38,103.66,3677000,0,102.84,103.22,1.00
24.02.1998,00:00,104.25,104.25,103.34,104.06,3220300,0,103.03,103.97,1.00
25.02.1998,00:00,103.91,104.09,102.94,103.25,3305200,0,103.50,103.55,1.00
26.02.1998,00:00,103.75,104.88,103.63,104.53,3409600,0,103.52,104.20,1.00
27.02.1998,00:00,104.44,105.22,104.19,105.13,3171600,0,103.86,104.75,1.00
28.02.1998,00:00,104.97,105.53,104.53,105.00,3424000,0,104.30,105.01,1.00
3.03.1998,00:00,105.25,105.75,104.63,104.91,4205300,0,104.66,105.14,1.00
4.03.1998,00:00,104.53,105.63,104.53,105.50,3343300,0,104.90,105.05,1.00
5.03.1998,00:00,105.09,105.41,104.06,104.88,4388100,0,104.97,104.86,0.00
6.03.1998,00:00,103.50,104.44,103.16,103.81,7243400,0,104.92,103.73,-1.00
7.03.1998,00:00,104.56,105.88,104.44,105.86,6755000,0,104.32,105.19,1.00
10.03.1998,00:00,105.53,106.22,105.25,105.53,3341200,0,104.75,105.63,1.00
11.03.1998,00:00,106.22,106.84,105.94,106.66,5331000,0,105.19,106.42,1.00
12.03.1998,00:00,106.97,107.31,106.78,107.09,3428200,0,105.80,107.04,1.00
13.03.1998,00:00,107.09,107.59,106.50,107.41,3144300,0,106.42,107.15,1.00
14.03.1998,00:00,107.84,108.00,106.88,107.09,2847600,0,106.78,107.45,1.00
17.03.1998,00:00,107.84,108.34,107.53,108.28,3193600,0,107.12,108.00,1.00
18.03.1998,00:00,108.31,108.56,107.66,108.56,4572500,0,107.56,108.27,1.00
19.03.1998,00:00,108.25,108.94,108.03,108.88,1874400,0,107.92,108.53,1.00
20.03.1998,00:00,108.97,109.38,108.66,109.34,2475800,0,108.22,109.09,1.00
21.03.1998,00:00,109.56,110.19,108.88,109.88,3001000,0,108.65,109.63,1.00
24.03.1998,00:00,109.72,110.31,109.41,109.63,4453100,0,109.14,109.77,1.00
25.03.1998,00:00,110.06,110.81,109.94,110.56,3333600,0,109.45,110.34,1.00
26.03.1998,00:00,111.41,111.53,109.19,110.16,4563700,0,109.90,110.57,1.00
27.03.1998,00:00,109.88,110.75,109.63,110.09,3333500,0,110.24,110.09,0.00
28.03.1998,00:00,110.75,110.78,109.00,109.69,2601400,0,110.16,110.06,0.00
31.03.1998,00:00,109.63,110.09,108.97,109.56,2898200,0,110.11,109.56,0.00
1.04.1998,00:00,110.16,111.19,109.75,109.94,5926500,0,109.84,110.26,1.00
2.04.1998,00:00,110.31,111.08,109.41,110.94,2913800,0,110.05,110.43,1.00
3.04.1998,00:00,110.94,112.25,110.75,112.03,3920900,0,110.24,111.49,1.00
4.04.1998,00:00,112.34,112.81,111.84,112.31,3744400,0,110.87,112.33,1.00
7.04.1998,00:00,113.25,113.38,111.69,111.81,4526700,0,111.60,112.53,1.00
8.04.1998,00:00,111.75,111.94,110.16,110.94,5509400,0,112.06,111.20,0.00
9.04.1998,00:00,111.22,111.28,109.75,110.38,4850200,0,111.63,110.66,-1.00
10.04.1998,00:00,110.56,111.28,110.53,111.09,4439200,0,111.14,110.86,0.00
14.04.1998,00:00,111.38,111.38,110.00,110.88,4333400,0,111.00,110.91,0.00
15.04.1998,00:00,111.13,111.75,110.91,111.63,3250100,0,110.96,111.35,1.00
16.04.1998,00:00,111.97,112.13,111.16,112.00,3860000,0,111.16,111.82,1.00
17.04.1998,00:00,111.31,111.50,110.50,110.81,7175300,0,111.49,111.03,0.00
18.04.1998,00:00,110.72,112.44,110.44,112.38,5550400,0,111.26,111.50,1.00
21.04.1998,00:00,112.00,112.56,111.88,112.31,3663500,0,111.38,112.19,1.00
22.04.1998,00:00,112.44,113.16,111.91,112.88,4454700,0,111.78,112.60,1.00
23.04.1998,00:00,112.88,113.44,112.81,113.11,2354600,0,112.19,113.06,1.00
24.04.1998,00:00,112.63,113.00,111.75,111.97,4966600,0,112.62,112.34,0.00
